epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
146,6441.87,0.77959,0.5459,1.04124,0.90323,0.9296,0.94763,0.73584,0.94341,0.54757,1.23421,0.00172675,0.00172675,0.00172675
147,6483.69,0.7686,0.53637,1.03,0.90469,0.92607,0.94709,0.73658,0.94198,0.54017,1.22991,0.00172315,0.00172315,0.00172315
148,6525.89,0.77529,0.54127,1.03671,0.8963,0.93111,0.94682,0.7363,0.94122,0.53446,1.22922,0.00171954,0.00171954,0.00171954
149,6567.53,0.7862,0.54956,1.04006,0.89358,0.93868,0.949,0.73537,0.9359,0.53869,1.22474,0.0017159,0.0017159,0.0017159
150,6609.11,0.77474,0.54532,1.03496,0.88871,0.93902,0.94715,0.73574,0.93584,0.54037,1.2251,0.00171225,0.00171225,0.00171225
151,6651.45,0.77345,0.53784,1.02811,0.90648,0.92592,0.94785,0.73865,0.9383,0.53763,1.21954,0.00170857,0.00170857,0.00170857
152,6693.25,0.77058,0.53398,1.02991,0.90359,0.93348,0.94874,0.73803,0.93572,0.53315,1.21674,0.00170488,0.00170488,0.00170488
153,6734.85,0.76567,0.53451,1.02876,0.90165,0.93293,0.94781,0.73742,0.93132,0.53526,1.21443,0.00170117,0.00170117,0.00170117
154,6776.54,0.77386,0.54869,1.03552,0.90307,0.93293,0.94883,0.7395,0.92588,0.53438,1.21005,0.00169743,0.00169743,0.00169743
155,6818.27,0.77146,0.54086,1.03453,0.90506,0.93293,0.94908,0.73795,0.92396,0.53343,1.20757,0.00169368,0.00169368,0.00169368
156,6859.76,0.76547,0.53528,1.03432,0.90664,0.92767,0.94955,0.7391,0.92408,0.53391,1.20875,0.00168991,0.00168991,0.00168991
157,6901.23,0.76731,0.52936,1.03183,0.91269,0.92683,0.94966,0.73835,0.92526,0.53043,1.21092,0.00168612,0.00168612,0.00168612
158,6942.98,0.76646,0.53853,1.0316,0.91362,0.92683,0.94896,0.73801,0.92519,0.52737,1.20883,0.00168232,0.00168232,0.00168232
159,6985.38,0.75303,0.52354,1.0226,0.91024,0.92753,0.94885,0.73749,0.92219,0.52695,1.21254,0.00167849,0.00167849,0.00167849
160,7026.81,0.77221,0.53446,1.03346,0.91086,0.92276,0.94874,0.73609,0.92488,0.52689,1.21646,0.00167465,0.00167465,0.00167465
161,7068.9,0.75969,0.5292,1.02879,0.91201,0.9248,0.94884,0.73588,0.92896,0.52725,1.21994,0.00167078,0.00167078,0.00167078
162,7110.65,0.75621,0.52655,1.03009,0.91618,0.92276,0.94907,0.73546,0.93174,0.52732,1.22095,0.0016669,0.0016669,0.0016669
163,7152.83,0.75625,0.52277,1.02608,0.91176,0.9241,0.94911,0.73596,0.93208,0.5244,1.22088,0.00166301,0.00166301,0.00166301
164,7194.4,0.75853,0.52884,1.02222,0.91029,0.9248,0.94936,0.73673,0.92772,0.52037,1.21722,0.00165909,0.00165909,0.00165909
165,7236.1,0.76134,0.52456,1.03173,0.90491,0.92845,0.94884,0.73789,0.92675,0.52209,1.2173,0.00165515,0.00165515,0.00165515
166,7277.91,0.76003,0.52448,1.02483,0.90488,0.92683,0.94863,0.7375,0.92773,0.52231,1.21852,0.0016512,0.0016512,0.0016512
167,7320.29,0.75423,0.53019,1.02072,0.92267,0.9126,0.9487,0.73691,0.92574,0.52251,1.21668,0.00164723,0.00164723,0.00164723
168,7362.33,0.75386,0.52335,1.02548,0.92465,0.91463,0.95096,0.73795,0.92533,0.52052,1.21613,0.00164324,0.00164324,0.00164324
169,7404.62,0.74034,0.51411,1.01693,0.92516,0.91463,0.95154,0.73835,0.92489,0.52254,1.21574,0.00163924,0.00163924,0.00163924
170,7447.33,0.75569,0.52269,1.02542,0.92286,0.91057,0.94906,0.73836,0.92478,0.52391,1.21498,0.00163521,0.00163521,0.00163521
171,7489.78,0.75414,0.5245,1.02486,0.92789,0.9126,0.95103,0.73998,0.92517,0.52536,1.21589,0.00163117,0.00163117,0.00163117
172,7532.15,0.74847,0.52088,1.01469,0.92569,0.9126,0.95087,0.73904,0.92518,0.5252,1.216,0.00162712,0.00162712,0.00162712
173,7574.11,0.75259,0.51303,1.01906,0.91421,0.9248,0.95091,0.7378,0.92726,0.52715,1.21835,0.00162304,0.00162304,0.00162304
174,7616.33,0.75296,0.52139,1.02828,0.91298,0.92276,0.94898,0.73767,0.92608,0.52791,1.21873,0.00161895,0.00161895,0.00161895
175,7658.58,0.74868,0.52152,1.02122,0.91218,0.9248,0.9489,0.73661,0.9272,0.52713,1.21995,0.00161484,0.00161484,0.00161484
176,7701.23,0.7445,0.52385,1.0198,0.92499,0.90854,0.94876,0.73802,0.92774,0.52732,1.22145,0.00161072,0.00161072,0.00161072
177,7744.11,0.74164,0.51463,1.02466,0.92503,0.91057,0.94891,0.73856,0.92764,0.52749,1.22324,0.00160658,0.00160658,0.00160658
178,7786.66,0.74448,0.51538,1.0232,0.92612,0.90854,0.94854,0.73839,0.92784,0.52922,1.22377,0.00160242,0.00160242,0.00160242
